name,Tc,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number
Ba0.4K0.6Fe2As2,31.2,4,0.583780781,0.506891252,0.459605629,0.441643108,0.428709514,30.36,37,6.2144
Ca0.4Ba1.25La1.25Cu3O6.98,40.1,5,0.606412684,0.557901057,0.543545387,0.542135886,0.541937126,22.67779503,49,16.07486449
Mo0.39Ru0.61,6.9,2,0.724016574,0.659083515,0.622509016,0.613735837,0.61069256,43.22,2,0.9516
Tm4Os6Sn19,1.1,3,0.700772463,0.663968989,0.655637447,0.655203437,0.655173071,58,26,10.48275862
Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85,6,0.512257748,0.435720214,0.405168425,0.400893384,0.40007543,36.658,75,27.8696
V0.784Ga0.172Al0.044,9.4,3,0.803850732,0.786795725,0.784079762,0.78400274,0.78400002,23.936,18,2.430016
La1.71Sr0.29Cu0.94Co0.06O4,33,5,0.637203713,0.588349363,0.57313234,0.571644576,0.57144025,24.19571429,49,18.50938776
Re0.1W0.9,0,2,0.905538514,0.900411335,0.900003048,0.900000027,0.9,74.1,1,0.18
N0.82V1,2.9,2,0.710556622,0.63606313,0.585220619,0.567201571,0.556572531,15.79120879,16,7.921748581
Be0.86Pb0.14,9.7,2,0.871320836,0.86123493,0.860019663,0.860000372,0.860000001,14.92,78,18.7824
Nb3Sn0.85Tl0.15,18.2,3,0.780424564,0.75567455,0.750273739,0.750015704,0.75000025,44.4125,40,5.11875
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,28.1,5,0.609260296,0.570817551,0.563621083,0.563334905,0.563319032,24.31004367,74,18.37550771
Y1Ba2Cu2O6.92,0,4,0.632743904,0.590299311,0.581011736,0.580564958,0.580537385,22.17785235,48,16.46153326
Y1Sr2Cu2.6Al0.4O6.5,0,5,0.588802174,0.536298045,0.521353773,0.520141143,0.520005848,19.808,31,12.716032
Nd1.1Ba1.9Cu3O6.96,87.6,4,0.608842747,0.555106447,0.538796958,0.537257697,0.537049048,24.3117284,52,17.52000457
Y0.887Ba1.962Ca0.15Cu4O8,91.8,5,0.613442026,0.557363112,0.536755598,0.53396624,0.533420997,21.8324555,48,14.79225446
Ba0.33Hf1N1Cl1,20.2,4,0.529491683,0.434830519,0.374190926,0.351337704,0.335172295,34.37837838,65,26.88093499
La2Cu0.975V0.025O4.032,40,4,0.654898206,0.598308293,0.576874426,0.573986083,0.573430563,24.9013083,49,19.39522406
Sm12Cu2.96Ni0.04O6.88,83,4,0.646507582,0.583372038,0.55517428,0.550032058,0.54865623,40.49360146,54,23.59019949
Cu1.5Mo4.5S6,10.9,3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,27.375,26,11.375
La0.9974Tb0.0026,5.28,2,0.997403389,0.997400006,0.9974,0.9974,0.9974,57.0208,8,0.04149184
Y0.9Ce0.1Ni2B2C1,11.9,5,0.522281321,0.43459527,0.384783941,0.368332693,0.357281341,18.81666667,53,13.48333333
Ga1C1Ni3,0,3,0.663324958,0.614463365,0.600984419,0.600078355,0.600002032,24.2,25,7.28
La2.9628Gd0.0372In1,5.04,3,0.781807508,0.750074572,0.741347741,0.740752788,0.740701421,55.0651,15,3.03255
Pd2Zr0.9Nb0.1Al1,2.1,4,0.603116904,0.533716901,0.504874345,0.500820888,0.500065814,36.275,33,11.6375
Hf0.13Nb0.74Zr0.13,0,3,0.762495902,0.742665092,0.740049521,0.740001092,0.740000004,44.9,32,7.046
Ru0.8Sr2Y1Cu2.2O8.1,65,5,0.618649519,0.581642192,0.57474745,0.574481667,0.574468259,19.77304965,36,13.52648257
Y1Ba2Cu2.76Co0.24O6.999,50.7,5,0.60408221,0.55371232,0.539658851,0.538552066,0.538431124,22.57958304,48,15.70005412
La2.9553Gd0.0447In1,4.3,3,0.780055935,0.748246671,0.739479327,0.738878597,0.738826454,55.078225,15,3.0391125
Nb2.5Sn1V0.5,14.2,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,41,27,4.5
La1.73Sr0.27Cu0.94Mn0.06O4,37,5,0.638125443,0.588834094,0.57322877,0.571662598,0.571441686,24.23285714,49,18.55183673
Ho0.75Y0.25Ni2B2C1,8.9,5,0.517069735,0.432192099,0.384369795,0.368262198,0.357276243,22,62,16.66666667
Ga0.25Fe0.75Se0.85,6.8,3,0.627469555,0.549686712,0.500706737,0.482895237,0.471164687,30.35135135,8,3.528122717
Os0.29V0.71,0,2,0.76694198,0.725774044,0.711607018,0.710192214,0.710009175,38.37,53,21.8254
Zr54.6Ti23.4Ni22,2.78,3,0.633460338,0.571064227,0.548711548,0.546340992,0.54601757,33.148,18,7.482384
Pb2Sr2Sm1Cu3O8,0,5,0.565961571,0.513931157,0.500936427,0.500083201,0.500002845,28.3125,74,20.3125
Sr0.7Ba1.3Y1Cu2.8Al0.2O7.11,20,6,0.598729028,0.554867784,0.543386542,0.542448456,0.542338964,21.28756674,48,14.66546345
Ca1Hg3,1.6,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,65,60,22.5
Bi1Ga1Sr1.8Ca1.2Cu2O8,24.8,6,0.576117272,0.539362149,0.533513498,0.53334041,0.533333402,21.89333333,75,15.12248889
Eu2.17Ce0.5Sr1.33Cu2.75Co0.25O9.02,0,6,0.610693653,0.571488515,0.56344092,0.563069757,0.56304662,23.40262172,55,17.34477502
Rb2Mo6Se6,0,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,37.85714286,8,3.551020408
Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3,6,0.596219285,0.550344279,0.536549891,0.535108071,0.534896632,22.34108527,51,15.3416261
Pr1Ba2Cu3O6.05,0,4,0.590335554,0.527927774,0.505448294,0.502632738,0.502120579,25.42738589,51,17.4996987
Gd0.2Nd1.65Ce0.15Cu1O4,18.5,5,0.635433325,0.587359754,0.572897585,0.571599295,0.571436776,25.92857143,56,20.48979592
La1Mg1,0,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,34.5,45,22.5
Nb1C0.2N0.74,17.5,3,0.649484536,0.578453702,0.536572233,0.523978985,0.517947516,24.42268041,35,17.09002019
Pr1Os3.8Ru0.2Sb12,1.655,4,0.742855242,0.713410709,0.706331893,0.705914551,0.705883069,56.97647059,32,8.742698962
Bi2Sr1.6Pr0.4Cu1O6.313,21.8,5,0.609686959,0.567595097,0.558513872,0.558061668,0.558031214,29.16149562,75,23.64607399
Bi4Sr3Ca2.7Y0.3Cu4OY,81.7,6,0.446251751,0.351497622,0.297392198,0.279765846,0.268944067,42.16875,75,20.415625
Mo0.8W0.2C1,12,3,0.64807407,0.574889708,0.529187551,0.513786321,0.50512568,27.2,68,21.2
Ga0.02Sn0.98,3.726,2,0.98020406,0.980002777,0.980000001,0.98,0.98,49.62,19,0.7448
Fe0.5Ba1Sr1Nd1Cu2.5O7.499,0,6,0.600615782,0.563636794,0.555993559,0.555559124,0.555523574,22.18623602,52,15.76155032
Er0.95Gd0.05Rh4B4,7.61,4,0.637365333,0.561212572,0.510571175,0.490707944,0.476343775,29.75555556,63,22.00493827
Au0.499Ga0.501,1.17,2,0.707108195,0.629963045,0.574353772,0.552051381,0.535896377,54.952,48,23.999904
In0.17Tl0.83,3.45,2,0.847230783,0.832370443,0.830059827,0.830001793,0.830000011,75.56,32,9.0304
La1.78Sr0.22Cu0.98Zn0.02O4,9.555,5,0.641706907,0.590408999,0.573508622,0.571714555,0.571446014,24.40571429,49,18.74938776
K0.82Fe1.63Se2,32,3,0.60837483,0.526787805,0.478726618,0.463505857,0.45494178,28.30561798,15,5.118545638
Be22Ru1,0,2,0.957509372,0.956551682,0.956521776,0.956521739,0.956521739,5.739130435,40,3.327032136
La1.82Nd0.03Sr0.15Cu1O4,34.2,5,0.644217608,0.591634167,0.573749936,0.571762535,0.571450353,24.60571429,52,18.97795918
La1.887Ca0.1125Cu1O4,20.1,4,0.648016827,0.593582301,0.574224747,0.571897909,0.571500634,24.40302879,49,18.88919377
C1Nb0.1Ti0.9,0,3,0.674536878,0.600231392,0.548626447,0.528715053,0.515182196,14.95,35,8.95
La2Cu0.6Li0.4O4,0,4,0.647128666,0.595079069,0.574965759,0.572064348,0.571484351,23.51428571,54,20.07510204
Ba1Fe1.83Zn0.06Co0.11As2,17,5,0.578432364,0.494663611,0.443342364,0.425638518,0.414050666,34.87,30,8.452
Al0.08Au0.92,0.088,2,0.92347171,0.920201594,0.920000915,0.920000005,0.92,73.72,66,9.7152
Fe0.5Ba1Sr1Tm1Cu2.5O7.432,40,6,0.599001116,0.561604624,0.553796076,0.553344243,0.553306566,22.9270399,61,16.51842772
Np1Al4,0,2,0.824621125,0.804145152,0.800156189,0.800006975,0.800000076,29,80,25.6
La1.825Ba0.175Cu1O4,26.2,4,0.644620597,0.591777893,0.57378023,0.571768903,0.571450957,24.975,49,19.4
Ni1Tb3,0,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,55.75,37,13.875
La1.5Er0.5Ba2Ca1Cu5O11.907,78,6,0.602610496,0.557898304,0.544955149,0.543703828,0.543534167,22.44743689,60,15.9285222
Sm0.96La0.84Sr0.2Cu1O4,35,5,0.617222217,0.578731972,0.571677674,0.571438768,0.571428672,25.14285714,54,19.59183673
Cu0.5P0.5Sr2Ca1.8Y0.2Cu3O9.55,80,6,0.600274827,0.555748194,0.544946618,0.544230584,0.544161935,17.39031339,31,10.3558575
As2Ti1,0,2,0.745355993,0.693361274,0.670782206,0.667408235,0.666731742,29.33333333,11,4.888888889
Sr1Ga0.5Si1.5,3.5,3,0.623609564,0.550321208,0.512897481,0.504110433,0.500861217,24.83333333,24,10.83333333
Ca0.4La1.25Ba1.35Cu3O7.135,76,5,0.606452475,0.558463916,0.544669276,0.543386346,0.543214562,22.75827941,49,16.20154325
Eu1Fe2As1.89P0.11,0,4,0.585976109,0.501357378,0.449140164,0.430801755,0.41842781,35.804,48,10.8784
Nb0.995Ta0.005,9.226,2,0.995012563,0.995000042,0.995,0.995,0.995,41.16,32,0.3184
Fe1Se0.5S0.5,2.75,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,25.5,18,4.75
Ce1Rh1In4.84Sn0.16,1.2,4,0.720702605,0.695478684,0.691532677,0.691431747,0.691428591,49.73714286,13,2.372832653
Y0.8Ca0.2Ba2Cu2.8Co0.2O6.98,82.5,6,0.603095521,0.553358967,0.539070919,0.537890887,0.537756388,22.31432974,48,15.46639253
Na0.32Co1H2.6O3.3,2.825,4,0.599778967,0.525270676,0.482143206,0.468490728,0.461111617,8.243767313,26,5.439952118
Er1Rh1Si1,0,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,42.33333333,54,18.88888889
Ta2V1,0,2,0.745355993,0.693361274,0.670782206,0.667408235,0.666731742,56.33333333,50,22.22222222
Bi2Sr2.4Ca0.6Cu2O8,94.2,5,0.589236795,0.543566295,0.533800301,0.533359294,0.53333375,26.08,75,19.77173333
La1.751Ba0.249Cu1O4,13.7,4,0.640917741,0.589829678,0.573364185,0.571684657,0.571443389,24.96442857,49,19.38791837
La0.5Y0.5Fe1As1O0.6,39.3,5,0.469764848,0.375285562,0.323437824,0.307638252,0.297833719,31.05555556,49,10.49382716
La2Pt3Ge5,8.1,3,0.6164414,0.542883523,0.508505651,0.502090175,0.500306726,50.8,46,18.8
Al0.75Ge0.25Nb3.8,20.34,3,0.808617862,0.793765112,0.791714276,0.791667987,0.791666674,36.15625,28,7.669270833
La1.7Er0.3Ba2Ca0.6Cu4.6O10.92,70,6,0.604130104,0.557679716,0.544207763,0.542926553,0.54275309,22.96520875,60,16.42139212
La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8,6,0.487576925,0.386863338,0.32222631,0.298264387,0.281782414,31.0274375,49,13.9725625
Y1Ba2Cu2.97Zn0.03O6.63,42.5,5,0.601839285,0.545275996,0.527087328,0.525228786,0.524958025,23.04592241,48,15.7964316
Ba0.635K0.365Bi1O3,30.4,4,0.649197967,0.609512645,0.600547013,0.60004085,0.600001027,29.899,75,27.870054
La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01,25.4,6,0.646078466,0.592948874,0.574519765,0.572407647,0.572064977,24.53323823,49,19.01105419
Sm1Fe0.8Zn0.2As1F0.2O0.8,0,6,0.458257569,0.362157822,0.303938435,0.283633045,0.270690149,32.5,54,15
Ga0.1Fe0.9Se0.85,6.8,3,0.671337424,0.596542639,0.544188832,0.523475795,0.508758823,29.94594595,8,3.839298758
Nb0.64Ta0.36,6.8,2,0.73430239,0.675915539,0.647051042,0.641616765,0.640202669,52.52,32,14.7456
La0.97Nd0.03Pt1Si1,3.27,4,0.571722543,0.476040604,0.411257183,0.386309239,0.36864891,49.69666667,64,23.79777778
Bi0.055Sn0.945,3.94,2,0.946599176,0.945062098,0.945000126,0.945,0.945,51.815,33,3.43035
Pa1,0.61,1,1,1,1,1,1,91,0,0
Y1Ni1.9Mn0.1B2C1,12.7,5,0.516935414,0.427367284,0.376414708,0.360004142,0.349389195,18.45,34,13.11666667
Tl1Sr2Ca1Cu2O6.88,0,5,0.587884179,0.543826979,0.534618118,0.534188469,0.534161952,22.51863354,73,15.90168203
Ba1C6,0,2,0.868966076,0.858463572,0.857164902,0.857143295,0.857142859,13.14285714,50,12.24489796
Y1Ba2Cu3Li0.02O7,91.18,5,0.609622053,0.555821603,0.5393887,0.537850143,0.537645841,22.58525346,53,15.74323798
Mg1.2C1.44B0.16Ni3,6.6,4,0.610529876,0.545767458,0.520884942,0.51779446,0.517280372,18.59310345,23,9.731272295
Bi4Sr3Ca1.6Y1.4Cu4O16,79.8,6,0.578811042,0.540267104,0.533567793,0.533343265,0.533333438,25.88666667,75,19.70702222
Pr1Ba1La1Cu3O7.42,0,5,0.610193534,0.566122115,0.554110329,0.553045696,0.552912564,23.72280179,51,17.38646636
Bi4Rh1,1.966666667,2,0.824621125,0.804145152,0.800156189,0.800006975,0.800000076,75.4,38,12.16
Y1Ba1.86La0.14Cu3O6.98,89.4,5,0.607601872,0.555322024,0.539467775,0.537965686,0.537762049,22.64869029,49,15.7546777
Pd2.2S1,1.63,2,0.755190373,0.708381389,0.690147551,0.687893071,0.68752588,36.625,30,12.890625
Ge1V3,6.86,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,25.25,9,3.375
Y1Sr2Cu2.8W0.2O6.9,45,5,0.602909437,0.55118506,0.536279292,0.535035289,0.534890421,20.63565891,66,13.51721651
Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,93,6,0.587987449,0.547764495,0.540622502,0.540390461,0.540380919,25.222587,75,19.3679234
Nb0.8V0.2,5.76,2,0.824621125,0.804145152,0.800156189,0.800006975,0.800000076,37.4,18,5.76
Ni2Ti1Al1,0,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,22.75,15,5.25
Fe1.03Te0.7Se0.3,12.7,3,0.631022754,0.559188702,0.52150627,0.512121231,0.508445898,36.14778325,26,10.93256328
Ge7Ir3,0.87,2,0.761577311,0.717905435,0.702012551,0.700265258,0.700014632,45.5,45,18.9
Ba0.51K0.49Bi1O2.974,22.2,4,0.64663151,0.607236258,0.598454382,0.597951282,0.597910234,29.0836349,75,27.1989189
La0.9Ce0.1Pt2.1B2.4C1.2,0,5,0.526212017,0.439557639,0.391102853,0.375907144,0.366703308,35.8358209,73,32.7787926
Er1Os1B2,0,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,38.5,71,33.5
Ce1Fe1As0.4P0.6O1,0,5,0.469041576,0.371447942,0.313238739,0.292893674,0.279087956,28.55,50,15.615
Yb1Ba2Cu2.982Zn0.018O6.9,85.1,5,0.60793507,0.553504374,0.53670973,0.535111831,0.534896101,25.13317829,62,18.32851632
Y0.86Sr2.14Cu2.6C0.4O7,0,5,0.601965223,0.55276995,0.539509424,0.538555741,0.538464613,19.12769231,33,12.79152663
La1.875Ba0.125Cu0.92Zn0.08O4,0,5,0.644981411,0.592579344,0.574064125,0.571836408,0.571457855,24.99357143,49,19.42122449
Fe0.2Ni0.8Zr2,2.13,3,0.721110255,0.680808982,0.668027764,0.666822605,0.666673657,35.86666667,14,5.511111111
Bi2.1Sr1.8Ca1Cu1.982Zn0.018O8,83,6,0.587310248,0.545133196,0.537211687,0.536926008,0.5369129,25.82,75,19.91677852
Pd1T0.81,4.0635,2,0.710991983,0.636827069,0.586547392,0.568987643,0.558861666,25.86187845,45,22.25206801
La1Ba2Cu2.9O6.82,45,4,0.608565724,0.554351209,0.537883014,0.536370209,0.536174135,24.18710692,49,17.35787251
Hf0.5Re0.5,0,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,73.5,3,1.5
Rh45Ta55,3.37,2,0.71063352,0.636198164,0.585455665,0.567518901,0.556981133,60.4,28,13.86
U2Pt0.8Rh0.2C2,0,4,0.589236795,0.509369977,0.459949346,0.441687474,0.428711633,53.48,86,38.6624
Y1Ba2Cu4O7.8,77.5,4,0.611253129,0.552772897,0.530830639,0.527731972,0.52709335,22.25675676,48,15.02739226
As1Nb3,2.353333333,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,39,8,3
La0.5Th0.5Sn3,4.67,3,0.77055175,0.752307707,0.750038576,0.750000765,0.750000002,55.875,40,8.8125
La1.65Sm0.15Sr0.2Cu1O4,24,5,0.635433325,0.587359754,0.572897585,0.571599295,0.571436776,24.56428571,54,18.93061224
Ca0.4Ba1.25La1.25Cu3O6.61,0,5,0.598064312,0.546626741,0.530447257,0.528677515,0.528396896,23.11191047,49,16.16858392
Pb0.3325Sn0.6175In0.05Te1,1.61,4,0.611220603,0.541798638,0.509050884,0.502441332,0.500402397,56.295,33,8.5469125
Ti1Os1P1,0,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,37.66666667,61,25.55555556
La1Fe1As1H0.3O0.7,38,5,0.473022198,0.374814723,0.314894852,0.29361942,0.279292472,30.475,56,14.525
Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5,6,0.603042482,0.5521703,0.537369658,0.536117017,0.535969764,24.46403712,60,17.73108457
Ba1Fe1.84Co0.13Mn0.03As2,8,5,0.579772369,0.495769404,0.444277612,0.426455655,0.414721191,34.82,31,8.472
Ca0.9Pr0.1Fe1.9As2.1,0,4,0.59464275,0.512739329,0.46258522,0.445001809,0.433362138,28.52,39,4.9824
La7Ru3,1.835,2,0.761577311,0.717905435,0.702012551,0.700265258,0.700014632,53.1,13,5.46
Ir0.125Rh0.125Zr0.75,10.2,3,0.77055175,0.752307707,0.750038576,0.750000765,0.750000002,45.25,37,7.9375
Al0.999Fe0.001,1.5,2,0.999000501,0.999,0.999,0.999,0.999,13.013,13,0.025974
Ba0.542K0.458Bi1O3,23.1,4,0.648182937,0.609157967,0.600525954,0.600039889,0.600001019,29.2108,75,27.32357856
Y0.6Lu0.4Ir4B4,3.06,4,0.633625664,0.560372921,0.51053699,0.490706514,0.476343761,42.2,72,33.49333333
Sr0.66Eu0.34Fe1.76Co0.24As2,9.82,5,0.555208069,0.47963398,0.435613272,0.420085478,0.409949743,32.948,37,5.4624
Bi0.264Mo0.066Cu2.67Sr2Y1O7.09,0,6,0.603809252,0.555488442,0.542651027,0.541728982,0.541638116,20.91932773,75,13.99511591
Y0.9Pr0.1Ni2B2C1,11.2,5,0.522281321,0.43459527,0.384783941,0.368332693,0.357281341,18.83333333,54,13.5
Au0.93In0.07,0.0164,2,0.932630688,0.930132174,0.930000449,0.930000002,0.93,76.9,30,3.906
Co7Y9,2.85,2,0.712609641,0.639653743,0.591395485,0.57541209,0.566898911,33.75,12,5.90625
La1Ru4Sb12,3.293333333,3,0.746386914,0.714624402,0.706462938,0.705928456,0.705883548,49.70588235,13,2.685121107
Al0.25Fe0.75Se0.85,8.5,3,0.627469555,0.549686712,0.500706737,0.482895237,0.471164687,27.91891892,21,5.588020453
Os1P1,0,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,45.5,61,30.5
Pd2Y0.25Tm0.75Sn1,3.06,4,0.592927061,0.528314256,0.503811087,0.500630171,0.500051554,50.875,30,6.796875
Mg0.9Zn0.1B2,38.4,3,0.731816613,0.686357146,0.669109121,0.667021974,0.666689364,7.933333333,25,3.911111111
Gd1Pt2,0,2,0.745355993,0.693361274,0.670782206,0.667408235,0.666731742,73.33333333,14,6.222222222
Nb2.85Hf0.15Al1,14.4,3,0.756017526,0.722648944,0.713256313,0.712566627,0.712502015,35.1625,59,11.08125
Nb0.9Ru0.1,2.8,2,0.905538514,0.900411335,0.900003048,0.900000027,0.9,41.3,3,0.54
Ca0.67Pt3B2,1.57,3,0.646785572,0.578555427,0.542408034,0.533419278,0.530011004,45.3968254,73,34.50071387
Ba1Fe1.894Pd0.106As2,13.3,4,0.586463025,0.501811202,0.449542497,0.431168215,0.418750336,35.224,30,8.7673024
Ag2S1,0,2,0.745355993,0.693361274,0.670782206,0.667408235,0.666731742,36.66666667,31,13.77777778
Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46,6,0.603450168,0.552281668,0.537707037,0.536518577,0.536383713,24.94117647,60,18.17373885
Au0.635Ge0.205Yb0.16,0.325,3,0.686185106,0.645338644,0.635573301,0.635038996,0.635000846,67.925,47,14.72925
La0.85Sr1.15Fe1O3.94,0,4,0.620912081,0.577262016,0.568135925,0.567745244,0.567723673,21.56628242,49,15.40379041
Fe0.5Ba2Eu1Cu2.5O7.51,60,5,0.609929807,0.566507496,0.556491407,0.555928097,0.555885559,23.72908956,55,17.48711512
Pt1V3.5,1.26,2,0.808901099,0.783778229,0.778073725,0.777795046,0.77777806,35.22222222,55,19.01234568
Sm1.5Ce0.5Sr2Cu2Nb1O10,25,6,0.621138591,0.592227743,0.58832071,0.588237597,0.588235307,22.17647059,54,16.67820069
Sr0.75Y0.25Cu1O2,38.6,4,0.592927061,0.528314256,0.503811087,0.500630171,0.500051554,20.8125,31,12.8125
Pb0.93Tl0.075,6.98,2,0.928377405,0.925534888,0.925373766,0.925373137,0.925373134,81.92537313,1,0.138115393
La1Fe0.985Ru0.015As1F0.11O0.89,27.5,6,0.485711463,0.385340923,0.320919775,0.297027478,0.280586733,31.095,49,14.0017875
Bi2Sr2Ca1Cu2O8.2135,70,5,0.589610414,0.54788277,0.540162245,0.539894116,0.53988246,25.35300884,75,19.44088434
Cu0.025V0.975,4.45,2,0.97532046,0.975005479,0.975000002,0.975,0.975,23.15,6,0.2925
Ir1Mo1,5.325,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,59.5,35,17.5
La1Fe1As1F0.18O0.82,14.3,5,0.481196426,0.381630231,0.318779162,0.295837128,0.280283585,31.045,49,13.955
Pr1Fe0.9Co0.1As0.95P0.05O1,14.2,6,0.482506477,0.382710736,0.318653335,0.294882915,0.278537801,31.3,51,14.6575
Th1Ni2B2C1,6.966666667,4,0.527046277,0.436790232,0.385263208,0.368439217,0.357292694,27,85,21.66666667
La1Os2Ru2P12,7,4,0.727606875,0.708189618,0.705919227,0.705883076,0.705882355,28.05882353,61,18.43598616
Lu1Ni1.93Co0.14B2C1,10.5,5,0.51426988,0.425192016,0.37459451,0.358205952,0.347490764,23.8583196,66,18.31135381
